City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,isafjordur,66.0755,-23.124,281.62,78,100,5.35,IS,2024-09-01
110,ambikapur,23.1167,83.2,296.42,88,99,3.23,IN,2024-09-01
111,kununurra,-15.7667,128.7333,294.14,94,42,0.0,AU,2024-09-01
112,candolim,15.5181,73.7626,299.44,85,100,2.66,IN,2024-09-01
113,chonchi,-42.6128,-73.8092,283.77,95,100,6.5,CL,2024-09-01
114,uturoa,-16.7333,-151.4333,298.52,73,12,12.89,PF,2024-09-01
115,jamestown,42.097,-79.2353,297.6,67,75,5.66,US,2024-09-01
116,tremonton,41.7119,-112.1655,306.49,15,1,4.02,US,2024-09-01
117,klyuchi,52.2667,79.1667,284.44,86,100,5.3,RU,2024-09-01
118,kabalo,-6.05,26.9167,301.08,38,58,0.52,CD,2024-09-01
119,yuzhno-kurilsk,44.0306,145.8556,289.79,95,45,1.25,RU,2024-09-01
120,olonkinbyen,70.9221,-8.7187,280.39,88,76,12.61,SJ,2024-09-01
121,neiafu,-18.65,-173.9833,296.53,94,40,2.57,TO,2024-09-01
122,kingston,17.997,-76.7936,305.68,66,20,9.77,JM,2024-09-01
123,veinticinco de mayo,-35.4323,-60.1727,290.36,52,2,2.24,AR,2024-09-01
124,summerville,33.0185,-80.1757,307.04,64,0,6.17,US,2024-09-01
125,tawau,4.2498,117.8871,298.22,90,98,2.37,MY,2024-09-01
126,tiksi,71.6872,128.8694,277.98,75,18,3.18,RU,2024-09-01
127,arawa,-6.2132,155.5367,298.01,93,93,1.82,PG,2024-09-01
128,kiunga,-6.1219,141.2906,296.37,99,95,0.82,PG,2024-09-01
129,paphos,34.7667,32.4167,300.03,69,20,5.14,CY,2024-09-01
130,lata,40.1629,-8.3327,288.85,85,0,0.99,PT,2024-09-01
131,hanceville,34.0607,-86.7675,306.6,42,80,2.97,US,2024-09-01
132,saipan,15.1355,145.701,301.54,78,40,4.12,MP,2024-09-01
133,piranhas,-16.4269,-51.8222,309.54,11,3,3.04,BR,2024-09-01
134,gijang,35.2442,129.2139,296.0,83,77,2.2,KR,2024-09-01
135,dunedin,-45.8742,170.5036,287.48,61,19,2.25,NZ,2024-09-01
136,praia,14.9215,-23.5087,300.45,83,40,5.14,CV,2024-09-01
137,maiyama,12.0841,4.3677,297.68,87,24,3.66,NG,2024-09-01
138,warrnambool,-38.3833,142.4833,281.82,76,53,16.19,AU,2024-09-01
139,malvan,16.0667,73.4667,299.39,84,100,3.73,IN,2024-09-01
140,albany,42.6001,-73.9662,303.38,45,0,4.25,US,2024-09-01
141,atafu village,-8.5421,-172.5159,301.28,76,7,9.14,TK,2024-09-01
142,fuglafjordur,62.244,-6.814,283.87,92,100,7.84,FO,2024-09-01
143,loango,-4.6719,11.8312,294.96,88,20,3.6,CG,2024-09-01
144,kalabo,-14.97,22.6814,293.1,32,18,4.07,ZM,2024-09-01
145,beledweyne,4.7358,45.2036,298.86,64,6,9.78,SO,2024-09-01
146,queenstown,-31.8976,26.8753,281.92,91,4,1.82,ZA,2024-09-01
147,batang,-6.4846,110.7083,298.39,76,5,1.73,ID,2024-09-01
148,yellowknife,62.456,-114.3525,291.71,81,75,4.12,CA,2024-09-01
149,puerto ayora,-0.7393,-90.3518,295.12,83,44,1.79,EC,2024-09-01
150,rabigh,22.7986,39.0349,306.57,49,98,4.1,SA,2024-09-01
151,broome,42.2506,-75.833,302.35,44,0,6.17,US,2024-09-01
152,bodaybo,57.8506,114.1933,284.02,94,68,0.84,RU,2024-09-01
153,dwarka,22.2394,68.9678,300.31,85,100,3.94,IN,2024-09-01
154,georgetown,5.4112,100.3354,300.11,87,20,0.51,MY,2024-09-01
155,wailua homesteads,22.0669,-159.378,301.59,72,75,4.63,US,2024-09-01
156,chihuahua,28.5,-106.0,297.61,42,36,5.6,MX,2024-09-01
157,santana,-0.0583,-51.1817,307.25,52,40,2.57,BR,2024-09-01
158,ilebo,-4.3167,20.5833,296.15,75,88,0.36,CD,2024-09-01
159,kourou,5.1552,-52.6478,300.91,80,51,4.25,GF,2024-09-01
160,hailar,49.2,119.7,283.11,75,0,3.7,CN,2024-09-01
161,pirapora,-17.345,-44.9419,300.61,17,0,1.54,BR,2024-09-01
162,rabaul,-4.1967,152.1721,299.19,82,76,1.91,PG,2024-09-01
163,as sulayyil,20.4607,45.5779,305.27,14,96,2.67,SA,2024-09-01
164,tayaman,13.2295,120.5726,297.61,95,100,5.72,PH,2024-09-01
165,sarkand,45.41,79.9186,286.33,65,3,2.76,KZ,2024-09-01
166,calama,-22.4667,-68.9333,297.42,5,0,6.17,CL,2024-09-01
167,pangkalanbuun,-2.6833,111.6167,296.08,100,81,0.58,ID,2024-09-01
168,papao,-17.75,-149.55,298.52,75,82,14.27,PF,2024-09-01
169,port elizabeth,-33.918,25.5701,287.21,88,20,3.09,ZA,2024-09-01
170,kristiansund,63.1115,7.732,286.51,82,0,2.06,NO,2024-09-01
171,oranjemund,-28.55,16.4333,288.6,63,1,1.84,NA,2024-09-01
172,saynshand,44.8824,110.1163,289.4,41,0,4.12,MN,2024-09-01
173,san luis de la loma,17.2706,-100.8939,304.14,66,28,3.8,MX,2024-09-01
174,hampton bays,40.869,-72.5176,296.96,96,100,4.02,US,2024-09-01
175,sakata,38.9167,139.855,298.22,91,45,0.28,JP,2024-09-01
176,susuman,62.7833,148.1667,283.02,88,100,8.28,RU,2024-09-01
177,bodo,67.28,14.405,284.69,92,20,3.09,NO,2024-09-01
178,vernon,50.2581,-119.2691,304.68,37,7,1.03,CA,2024-09-01
179,tidjikja,18.5564,-11.4271,309.33,18,98,2.23,MR,2024-09-01
180,grandview,38.8858,-94.533,303.66,44,0,5.14,US,2024-09-01
181,ocean shores,46.9737,-124.1563,290.38,93,100,3.6,US,2024-09-01
182,iskateley,67.6803,53.1512,282.64,93,65,6.47,RU,2024-09-01
183,kattivakkam,13.2167,80.3167,300.99,86,19,4.51,IN,2024-09-01
184,tokar,18.4254,37.729,305.32,55,78,2.17,SD,2024-09-01
185,mirabad,30.4362,61.8383,302.26,17,3,9.14,AF,2024-09-01
186,insuratei,44.9167,27.6,294.51,67,20,0.92,RO,2024-09-01
187,apolinario saravia,-24.4328,-63.9954,297.58,27,3,4.36,AR,2024-09-01
188,masterton,-40.9597,175.6575,286.57,70,92,3.34,NZ,2024-09-01
189,fale old settlement,-9.3852,-171.2468,301.19,73,14,8.7,TK,2024-09-01
190,ugoofaaru,5.6667,73.0,301.24,79,96,4.85,MV,2024-09-01
191,brinkmann,-30.8659,-62.0374,291.52,37,0,1.3,AR,2024-09-01
192,princeville,45.7668,-61.2985,296.51,77,40,6.69,CA,2024-09-01
193,tual,-5.6667,132.75,299.38,83,99,8.37,ID,2024-09-01
194,lycksele,64.5954,18.6735,287.08,77,100,2.57,SE,2024-09-01
195,pratapgarh,24.0333,74.7833,298.22,86,100,1.62,IN,2024-09-01
196,gadzhiyevo,69.2551,33.3362,284.87,87,99,3.36,RU,2024-09-01
197,bubaque,11.2833,-15.8333,299.64,83,100,6.15,GW,2024-09-01
198,acarau,-2.8856,-40.12,298.42,73,4,8.25,BR,2024-09-01
199,nova sintra,14.8667,-24.7167,299.33,91,95,6.82,CV,2024-09-01
200,horta,38.5333,-28.6333,296.49,76,40,7.2,PT,2024-09-01
201,torghay,49.6339,63.4981,285.26,51,2,2.62,KZ,2024-09-01
